index,country,year,sex,age,suicides_no,population,suicides_100k,gdp_yearly,gdp_capita,generation
4969,Canada,1989,female,35-54 years,322,3384300,9.51,"565,055,743,243",23188,Silent
4970,Canada,1989,female,55-74 years,163,2195700,7.42,"565,055,743,243",23188,G.I. Generation
4971,Canada,1989,female,25-34 years,174,2371500,7.34,"565,055,743,243",23188,Boomers
4972,Canada,1989,female,75+ years,40,741000,5.4,"565,055,743,243",23188,G.I. Generation
4973,Canada,1989,female,15-24 years,91,1919500,4.74,"565,055,743,243",23188,Generation X
4974,Canada,1989,male,5-14 years,19,1870700,1.02,"565,055,743,243",23188,Generation X
4975,Canada,1989,female,5-14 years,6,1779400,0.34,"565,055,743,243",23188,Generation X
4976,Canada,1990,male,75+ years,149,459600,32.42,"593,929,550,908",24041,G.I. Generation
4977,Canada,1990,male,25-34 years,703,2372600,29.63,"593,929,550,908",24041,Boomers
4978,Canada,1990,male,35-54 years,884,3483200,25.38,"593,929,550,908",24041,Silent
4979,Canada,1990,male,15-24 years,484,1970600,24.56,"593,929,550,908",24041,Generation X
4980,Canada,1990,male,55-74 years,430,1969600,21.83,"593,929,550,908",24041,G.I. Generation
4981,Canada,1990,female,35-54 years,293,3506700,8.36,"593,929,550,908",24041,Silent
4982,Canada,1990,female,25-34 years,154,2388600,6.45,"593,929,550,908",24041,Boomers
4983,Canada,1990,female,55-74 years,125,2216700,5.64,"593,929,550,908",24041,G.I. Generation
4984,Canada,1990,female,15-24 years,94,1888000,4.98,"593,929,550,908",24041,Generation X
4985,Canada,1990,female,75+ years,32,768500,4.16,"593,929,550,908",24041,G.I. Generation
4986,Canada,1990,male,5-14 years,23,1882100,1.22,"593,929,550,908",24041,Generation X
4987,Canada,1990,female,5-14 years,7,1798200,0.39,"593,929,550,908",24041,Generation X
4988,Canada,1991,male,25-34 years,713,2420300,29.46,"610,328,183,643",24038,Boomers
4989,Canada,1991,male,75+ years,139,478900,29.02,"610,328,183,643",24038,G.I. Generation
4990,Canada,1991,male,15-24 years,539,1943600,27.73,"610,328,183,643",24038,Generation X
4991,Canada,1991,male,35-54 years,974,3663400,26.59,"610,328,183,643",24038,Boomers
4992,Canada,1991,male,55-74 years,490,2031500,24.12,"610,328,183,643",24038,Silent
4993,Canada,1991,female,35-54 years,271,3674300,7.38,"610,328,183,643",24038,Boomers
4994,Canada,1991,female,25-34 years,177,2446400,7.24,"610,328,183,643",24038,Boomers
4995,Canada,1991,female,55-74 years,154,2263200,6.8,"610,328,183,643",24038,Silent
4996,Canada,1991,female,15-24 years,76,1886900,4.03,"610,328,183,643",24038,Generation X
4997,Canada,1991,female,75+ years,31,795900,3.89,"610,328,183,643",24038,G.I. Generation
4998,Canada,1991,male,5-14 years,20,1941100,1.03,"610,328,183,643",24038,Millenials
4999,Canada,1991,female,5-14 years,9,1844900,0.49,"610,328,183,643",24038,Millenials
5000,Canada,1992,male,25-34 years,739,2561600,28.85,"592,387,689,253",22393,Boomers
5001,Canada,1992,male,75+ years,136,499900,27.21,"592,387,689,253",22393,G.I. Generation
5002,Canada,1992,male,35-54 years,1020,3889500,26.22,"592,387,689,253",22393,Boomers
5003,Canada,1992,male,15-24 years,504,2042300,24.68,"592,387,689,253",22393,Generation X
5004,Canada,1992,male,55-74 years,497,2087600,23.81,"592,387,689,253",22393,Silent
5005,Canada,1992,female,35-54 years,323,3857500,8.37,"592,387,689,253",22393,Boomers
5006,Canada,1992,female,55-74 years,146,2313800,6.31,"592,387,689,253",22393,Silent
5007,Canada,1992,female,25-34 years,155,2499900,6.2,"592,387,689,253",22393,Boomers
5008,Canada,1992,female,15-24 years,119,1969200,6.04,"592,387,689,253",22393,Generation X
5009,Canada,1992,female,75+ years,35,834600,4.19,"592,387,689,253",22393,G.I. Generation
5010,Canada,1992,male,5-14 years,26,1995400,1.3,"592,387,689,253",22393,Millenials
5011,Canada,1992,female,5-14 years,8,1903100,0.42,"592,387,689,253",22393,Millenials
5012,Canada,1993,male,35-54 years,1141,4049700,28.17,"577,170,761,956",21421,Boomers
5013,Canada,1993,male,25-34 years,721,2568700,28.07,"577,170,761,956",21421,Boomers
5014,Canada,1993,male,75+ years,138,513400,26.88,"577,170,761,956",21421,G.I. Generation
5015,Canada,1993,male,15-24 years,488,2054700,23.75,"577,170,761,956",21421,Generation X
5016,Canada,1993,male,55-74 years,499,2127800,23.45,"577,170,761,956",21421,Silent
5017,Canada,1993,female,35-54 years,331,4013200,8.25,"577,170,761,956",21421,Boomers
5018,Canada,1993,female,75+ years,55,858000,6.41,"577,170,761,956",21421,G.I. Generation
5019,Canada,1993,female,55-74 years,146,2348500,6.22,"577,170,761,956",21421,Silent
5020,Canada,1993,female,25-34 years,146,2501800,5.84,"577,170,761,956",21421,Boomers
5021,Canada,1993,female,15-24 years,93,1978900,4.7,"577,170,761,956",21421,Generation X
5022,Canada,1993,male,5-14 years,27,2009100,1.34,"577,170,761,956",21421,Millenials
5023,Canada,1993,female,5-14 years,18,1920900,0.94,"577,170,761,956",21421,Millenials
5024,Canada,1994,male,75+ years,160,527500,30.33,"578,139,279,438",21219,G.I. Generation
5025,Canada,1994,male,35-54 years,1150,4177400,27.53,"578,139,279,438",21219,Boomers
5026,Canada,1994,male,25-34 years,636,2523000,25.21,"578,139,279,438",21219,Boomers
5027,Canada,1994,male,15-24 years,506,2048800,24.7,"578,139,279,438",21219,Generation X
5028,Canada,1994,male,55-74 years,479,2164400,22.13,"578,139,279,438",21219,Silent
5029,Canada,1994,female,35-54 years,339,4145800,8.18,"578,139,279,438",21219,Boomers
5030,Canada,1994,female,55-74 years,152,2380300,6.39,"578,139,279,438",21219,Silent
5031,Canada,1994,female,25-34 years,135,2460500,5.49,"578,139,279,438",21219,Boomers
5032,Canada,1994,female,15-24 years,105,1972200,5.32,"578,139,279,438",21219,Generation X
5033,Canada,1994,female,75+ years,37,884500,4.18,"578,139,279,438",21219,G.I. Generation
5034,Canada,1994,male,5-14 years,37,2024800,1.83,"578,139,279,438",21219,Millenials
5035,Canada,1994,female,5-14 years,12,1936800,0.62,"578,139,279,438",21219,Millenials
5036,Canada,1995,male,25-34 years,744,2489100,29.89,"604,031,623,433",21871,Generation X
5037,Canada,1995,male,35-54 years,1264,4316200,29.29,"604,031,623,433",21871,Boomers
5038,Canada,1995,male,75+ years,146,549900,26.55,"604,031,623,433",21871,G.I. Generation
5039,Canada,1995,male,15-24 years,507,2051200,24.72,"604,031,623,433",21871,Generation X
5040,Canada,1995,male,55-74 years,473,2193400,21.56,"604,031,623,433",21871,Silent
5041,Canada,1995,female,35-54 years,363,4287400,8.47,"604,031,623,433",21871,Boomers
5042,Canada,1995,female,55-74 years,157,2403700,6.53,"604,031,623,433",21871,Silent
5043,Canada,1995,female,25-34 years,141,2431800,5.8,"604,031,623,433",21871,Generation X
5044,Canada,1995,female,15-24 years,96,1972700,4.87,"604,031,623,433",21871,Generation X
5045,Canada,1995,female,75+ years,34,921200,3.69,"604,031,623,433",21871,G.I. Generation
5046,Canada,1995,male,5-14 years,22,2045200,1.08,"604,031,623,433",21871,Millenials
5047,Canada,1995,female,5-14 years,21,1956700,1.07,"604,031,623,433",21871,Millenials
5048,Canada,1996,male,75+ years,162,555800,29.15,"628,546,387,972",22686,G.I. Generation
5049,Canada,1996,male,35-54 years,1273,4393100,28.98,"628,546,387,972",22686,Boomers
5050,Canada,1996,male,25-34 years,630,2399900,26.25,"628,546,387,972",22686,Generation X
5051,Canada,1996,male,15-24 years,490,2058900,23.8,"628,546,387,972",22686,Generation X
5052,Canada,1996,male,55-74 years,506,2212300,22.87,"628,546,387,972",22686,Silent
5053,Canada,1996,female,35-54 years,434,4396400,9.87,"628,546,387,972",22686,Boomers
5054,Canada,1996,female,55-74 years,144,2417100,5.96,"628,546,387,972",22686,Silent
5055,Canada,1996,female,25-34 years,137,2346000,5.84,"628,546,387,972",22686,Generation X
5056,Canada,1996,female,15-24 years,91,1964700,4.63,"628,546,387,972",22686,Generation X
5057,Canada,1996,female,75+ years,33,935900,3.53,"628,546,387,972",22686,G.I. Generation
5058,Canada,1996,male,5-14 years,32,2064700,1.55,"628,546,387,972",22686,Millenials
5059,Canada,1996,female,5-14 years,9,1961800,0.46,"628,546,387,972",22686,Millenials
5060,Canada,1997,male,35-54 years,1230,4525200,27.18,"652,825,364,726",23245,Boomers
5061,Canada,1997,male,75+ years,156,578100,26.98,"652,825,364,726",23245,G.I. Generation
5062,Canada,1997,male,25-34 years,535,2359600,22.67,"652,825,364,726",23245,Generation X
5063,Canada,1997,male,15-24 years,464,2076000,22.35,"652,825,364,726",23245,Generation X
5064,Canada,1997,male,55-74 years,490,2249500,21.78,"652,825,364,726",23245,Silent
5065,Canada,1997,female,35-54 years,356,4525500,7.87,"652,825,364,726",23245,Boomers
5066,Canada,1997,female,25-34 years,136,2308000,5.89,"652,825,364,726",23245,Generation X
5067,Canada,1997,female,55-74 years,131,2446100,5.36,"652,825,364,726",23245,Silent
5068,Canada,1997,female,15-24 years,90,1980900,4.54,"652,825,364,726",23245,Generation X
5069,Canada,1997,female,75+ years,42,970900,4.33,"652,825,364,726",23245,G.I. Generation
5070,Canada,1997,male,5-14 years,39,2084500,1.87,"652,825,364,726",23245,Millenials
5071,Canada,1997,female,5-14 years,12,1980800,0.61,"652,825,364,726",23245,Millenials
5072,Canada,1998,male,35-54 years,1226,4637556,26.44,"631,813,279,407",22268,Boomers
5073,Canada,1998,male,25-34 years,568,2301724,24.68,"631,813,279,407",22268,Generation X
5074,Canada,1998,male,75+ years,147,599107,24.54,"631,813,279,407",22268,G.I. Generation
5075,Canada,1998,male,15-24 years,457,2090656,21.86,"631,813,279,407",22268,Generation X
5076,Canada,1998,male,55-74 years,497,2294107,21.66,"631,813,279,407",22268,Silent
5077,Canada,1998,female,35-54 years,341,4634299,7.36,"631,813,279,407",22268,Boomers
5078,Canada,1998,female,25-34 years,133,2251763,5.91,"631,813,279,407",22268,Generation X
5079,Canada,1998,female,15-24 years,105,1993396,5.27,"631,813,279,407",22268,Generation X
5080,Canada,1998,female,55-74 years,129,2483325,5.19,"631,813,279,407",22268,Silent
5081,Canada,1998,female,75+ years,50,1003373,4.98,"631,813,279,407",22268,G.I. Generation
5082,Canada,1998,male,5-14 years,30,2094080,1.43,"631,813,279,407",22268,Millenials
5083,Canada,1998,female,5-14 years,16,1989150,0.8,"631,813,279,407",22268,Millenials
5084,Canada,1999,male,35-54 years,1442,4743615,30.4,"676,082,654,641",23572,Boomers
5085,Canada,1999,male,25-34 years,614,2254396,27.24,"676,082,654,641",23572,Generation X
5086,Canada,1999,male,75+ years,155,620972,24.96,"676,082,654,641",23572,G.I. Generation
5087,Canada,1999,male,55-74 years,520,2341132,22.21,"676,082,654,641",23572,Silent
5088,Canada,1999,male,15-24 years,468,2112560,22.15,"676,082,654,641",23572,Generation X
5089,Canada,1999,female,35-54 years,435,4736367,9.18,"676,082,654,641",23572,Boomers
5090,Canada,1999,female,55-74 years,147,2523439,5.83,"676,082,654,641",23572,Silent
5091,Canada,1999,female,25-34 years,118,2206484,5.35,"676,082,654,641",23572,Generation X
5092,Canada,1999,female,75+ years,53,1037189,5.11,"676,082,654,641",23572,G.I. Generation
5093,Canada,1999,female,15-24 years,90,2014044,4.47,"676,082,654,641",23572,Generation X
5094,Canada,1999,male,5-14 years,25,2098556,1.19,"676,082,654,641",23572,Millenials
5095,Canada,1999,female,5-14 years,7,1992889,0.35,"676,082,654,641",23572,Millenials
5096,Canada,2000,male,35-54 years,1254,4840239,25.91,"742,293,448,253",25589,Boomers
5097,Canada,2000,male,75+ years,146,644375,22.66,"742,293,448,253",25589,G.I. Generation
5098,Canada,2000,male,25-34 years,484,2226742,21.74,"742,293,448,253",25589,Generation X
5099,Canada,2000,male,15-24 years,430,2131117,20.18,"742,293,448,253",25589,Generation X
5100,Canada,2000,male,55-74 years,455,2390741,19.03,"742,293,448,253",25589,Silent
5101,Canada,2000,female,35-54 years,393,4830067,8.14,"742,293,448,253",25589,Boomers
5102,Canada,2000,female,15-24 years,112,2030972,5.51,"742,293,448,253",25589,Generation X
5103,Canada,2000,female,25-34 years,119,2177984,5.46,"742,293,448,253",25589,Generation X
5104,Canada,2000,female,55-74 years,137,2567097,5.34,"742,293,448,253",25589,Silent
5105,Canada,2000,female,75+ years,30,1071636,2.8,"742,293,448,253",25589,G.I. Generation
5106,Canada,2000,male,5-14 years,29,2101448,1.38,"742,293,448,253",25589,Millenials
5107,Canada,2000,female,5-14 years,17,1996147,0.85,"742,293,448,253",25589,Millenials
5108,Canada,2001,male,35-54 years,1347,4892041,27.53,"736,379,777,893",25165,Boomers
5109,Canada,2001,male,25-34 years,500,2182409,22.91,"736,379,777,893",25165,Generation X
5110,Canada,2001,male,75+ years,131,665842,19.67,"736,379,777,893",25165,Silent
5111,Canada,2001,male,55-74 years,481,2458947,19.56,"736,379,777,893",25165,Silent
5112,Canada,2001,male,15-24 years,398,2168038,18.36,"736,379,777,893",25165,Millenials
5113,Canada,2001,female,35-54 years,392,4894497,8.01,"736,379,777,893",25165,Boomers
5114,Canada,2001,female,55-74 years,161,2618587,6.15,"736,379,777,893",25165,Silent
5115,Canada,2001,female,25-34 years,114,2130957,5.35,"736,379,777,893",25165,Generation X
5116,Canada,2001,female,15-24 years,105,2059190,5.1,"736,379,777,893",25165,Millenials
5117,Canada,2001,female,75+ years,38,1096205,3.47,"736,379,777,893",25165,Silent
5118,Canada,2001,male,5-14 years,14,2096912,0.67,"736,379,777,893",25165,Millenials
5119,Canada,2001,female,5-14 years,13,1998430,0.65,"736,379,777,893",25165,Millenials
5120,Canada,2002,male,35-54 years,1292,4926984,26.22,"757,950,678,647",25570,Boomers
5121,Canada,2002,male,75+ years,164,691551,23.71,"757,950,678,647",25570,Silent
5122,Canada,2002,male,25-34 years,466,2194450,21.24,"757,950,678,647",25570,Generation X
5123,Canada,2002,male,55-74 years,527,2550479,20.66,"757,950,678,647",25570,Silent
5124,Canada,2002,male,15-24 years,384,2192632,17.51,"757,950,678,647",25570,Millenials
5125,Canada,2002,female,35-54 years,370,4929966,7.51,"757,950,678,647",25570,Boomers
5126,Canada,2002,female,25-34 years,124,2142391,5.79,"757,950,678,647",25570,Generation X
5127,Canada,2002,female,55-74 years,150,2707035,5.54,"757,950,678,647",25570,Silent
5128,Canada,2002,female,15-24 years,108,2084984,5.18,"757,950,678,647",25570,Millenials
5129,Canada,2002,female,75+ years,30,1126677,2.66,"757,950,678,647",25570,Silent
5130,Canada,2002,male,5-14 years,18,2097593,0.86,"757,950,678,647",25570,Millenials
5131,Canada,2002,female,5-14 years,17,1997372,0.85,"757,950,678,647",25570,Millenials
5132,Canada,2003,male,35-54 years,1317,4950960,26.6,"892,380,986,368",29787,Boomers
5133,Canada,2003,male,55-74 years,581,2636917,22.03,"892,380,986,368",29787,Silent
5134,Canada,2003,male,75+ years,151,718916,21.0,"892,380,986,368",29787,Silent
5135,Canada,2003,male,25-34 years,426,2205120,19.32,"892,380,986,368",29787,Generation X
5136,Canada,2003,male,15-24 years,409,2211023,18.5,"892,380,986,368",29787,Millenials
5137,Canada,2003,female,35-54 years,438,4956221,8.84,"892,380,986,368",29787,Boomers
5138,Canada,2003,female,15-24 years,113,2103731,5.37,"892,380,986,368",29787,Millenials
5139,Canada,2003,female,25-34 years,114,2151969,5.3,"892,380,986,368",29787,Generation X
5140,Canada,2003,female,55-74 years,145,2792599,5.19,"892,380,986,368",29787,Silent
5141,Canada,2003,female,75+ years,44,1156073,3.81,"892,380,986,368",29787,Silent
5142,Canada,2003,male,5-14 years,19,2087408,0.91,"892,380,986,368",29787,Millenials
5143,Canada,2003,female,5-14 years,8,1987896,0.4,"892,380,986,368",29787,Millenials
5144,Canada,2004,male,35-54 years,1210,4982932,24.28,"1,023,196,003,075",33787,Boomers
5145,Canada,2004,male,25-34 years,477,2220407,21.48,"1,023,196,003,075",33787,Generation X
5146,Canada,2004,male,75+ years,154,744741,20.68,"1,023,196,003,075",33787,Silent
5147,Canada,2004,male,55-74 years,497,2721795,18.26,"1,023,196,003,075",33787,Silent
5148,Canada,2004,male,15-24 years,379,2230355,16.99,"1,023,196,003,075",33787,Millenials
5149,Canada,2004,female,35-54 years,428,4986017,8.58,"1,023,196,003,075",33787,Boomers
5150,Canada,2004,female,55-74 years,181,2879432,6.29,"1,023,196,003,075",33787,Silent
5151,Canada,2004,female,25-34 years,114,2169563,5.25,"1,023,196,003,075",33787,Generation X
5152,Canada,2004,female,15-24 years,101,2124167,4.75,"1,023,196,003,075",33787,Millenials
5153,Canada,2004,female,75+ years,44,1183549,3.72,"1,023,196,003,075",33787,Silent
5154,Canada,2004,male,5-14 years,17,2069874,0.82,"1,023,196,003,075",33787,Millenials
5155,Canada,2004,female,5-14 years,11,1971134,0.56,"1,023,196,003,075",33787,Millenials
5156,Canada,2005,male,35-54 years,1341,5018957,26.72,"1,169,357,979,865",38218,Boomers
5157,Canada,2005,male,75+ years,165,772032,21.37,"1,169,357,979,865",38218,Silent
5158,Canada,2005,male,55-74 years,539,2802901,19.23,"1,169,357,979,865",38218,Silent
5159,Canada,2005,male,25-34 years,415,2236320,18.56,"1,169,357,979,865",38218,Generation X
5160,Canada,2005,male,15-24 years,378,2249377,16.8,"1,169,357,979,865",38218,Millenials
5161,Canada,2005,female,35-54 years,418,5018764,8.33,"1,169,357,979,865",38218,Boomers
5162,Canada,2005,female,15-24 years,131,2144094,6.11,"1,169,357,979,865",38218,Millenials
5163,Canada,2005,female,55-74 years,158,2961910,5.33,"1,169,357,979,865",38218,Silent
5164,Canada,2005,female,75+ years,58,1211769,4.79,"1,169,357,979,865",38218,Silent
5165,Canada,2005,female,25-34 years,96,2188897,4.39,"1,169,357,979,865",38218,Generation X
5166,Canada,2005,female,5-14 years,25,1947297,1.28,"1,169,357,979,865",38218,Millenials
5167,Canada,2005,male,5-14 years,19,2044772,0.93,"1,169,357,979,865",38218,Millenials
5168,Canada,2006,male,35-54 years,1202,5050497,23.8,"1,315,415,197,461",42566,Boomers
5169,Canada,2006,male,75+ years,188,806380,23.31,"1,315,415,197,461",42566,Silent
5170,Canada,2006,male,55-74 years,599,2910932,20.58,"1,315,415,197,461",42566,Silent
5171,Canada,2006,male,25-34 years,362,2220384,16.3,"1,315,415,197,461",42566,Generation X
5172,Canada,2006,male,15-24 years,331,2288073,14.47,"1,315,415,197,461",42566,Millenials
5173,Canada,2006,female,35-54 years,362,5021174,7.21,"1,315,415,197,461",42566,Boomers
5174,Canada,2006,female,55-74 years,187,3071300,6.09,"1,315,415,197,461",42566,Silent
5175,Canada,2006,female,25-34 years,118,2177957,5.42,"1,315,415,197,461",42566,Generation X
5176,Canada,2006,female,15-24 years,86,2179623,3.95,"1,315,415,197,461",42566,Millenials
5177,Canada,2006,female,75+ years,46,1241475,3.71,"1,315,415,197,461",42566,Silent
5178,Canada,2006,female,5-14 years,18,1920311,0.94,"1,315,415,197,461",42566,Millenials
5179,Canada,2006,male,5-14 years,13,2014856,0.65,"1,315,415,197,461",42566,Millenials
5180,Canada,2007,male,35-54 years,1224,5064536,24.17,"1,464,977,190,206",46890,Boomers
5181,Canada,2007,male,75+ years,183,837259,21.86,"1,464,977,190,206",46890,Silent
5182,Canada,2007,male,25-34 years,404,2250433,17.95,"1,464,977,190,206",46890,Generation X
5183,Canada,2007,male,55-74 years,539,3006062,17.93,"1,464,977,190,206",46890,Silent
5184,Canada,2007,male,15-24 years,359,2318148,15.49,"1,464,977,190,206",46890,Millenials
5185,Canada,2007,female,35-54 years,400,5030803,7.95,"1,464,977,190,206",46890,Boomers
5186,Canada,2007,female,55-74 years,188,3170541,5.93,"1,464,977,190,206",46890,Silent
5187,Canada,2007,female,15-24 years,116,2206555,5.26,"1,464,977,190,206",46890,Millenials
5188,Canada,2007,female,25-34 years,113,2212210,5.11,"1,464,977,190,206",46890,Generation X
5189,Canada,2007,female,75+ years,52,1269438,4.1,"1,464,977,190,206",46890,Silent
5190,Canada,2007,male,5-14 years,18,1986129,0.91,"1,464,977,190,206",46890,Generation Z
5191,Canada,2007,female,5-14 years,15,1890517,0.79,"1,464,977,190,206",46890,Generation Z
5192,Canada,2008,male,35-54 years,1241,5076969,24.44,"1,549,131,208,997",49041,Boomers
5193,Canada,2008,male,75+ years,192,866435,22.16,"1,549,131,208,997",49041,Silent
5194,Canada,2008,male,55-74 years,589,3107189,18.96,"1,549,131,208,997",49041,Silent
5195,Canada,2008,male,25-34 years,395,2286010,17.28,"1,549,131,208,997",49041,Generation X
5196,Canada,2008,male,15-24 years,344,2341539,14.69,"1,549,131,208,997",49041,Millenials
5197,Canada,2008,female,35-54 years,413,5038500,8.2,"1,549,131,208,997",49041,Boomers
5198,Canada,2008,female,55-74 years,231,3276332,7.05,"1,549,131,208,997",49041,Silent
5199,Canada,2008,female,15-24 years,119,2227003,5.34,"1,549,131,208,997",49041,Millenials
5200,Canada,2008,female,25-34 years,118,2251723,5.24,"1,549,131,208,997",49041,Generation X
5201,Canada,2008,female,75+ years,38,1296269,2.93,"1,549,131,208,997",49041,Silent
5202,Canada,2008,male,5-14 years,16,1959155,0.82,"1,549,131,208,997",49041,Generation Z
5203,Canada,2008,female,5-14 years,9,1861517,0.48,"1,549,131,208,997",49041,Generation Z
5204,Canada,2009,male,35-54 years,1328,5085328,26.11,"1,371,153,004,986",42933,Boomers
5205,Canada,2009,male,55-74 years,680,3216246,21.14,"1,371,153,004,986",42933,Silent
5206,Canada,2009,male,75+ years,182,893202,20.38,"1,371,153,004,986",42933,Silent
5207,Canada,2009,male,25-34 years,437,2325144,18.79,"1,371,153,004,986",42933,Generation X
5208,Canada,2009,male,15-24 years,349,2355316,14.82,"1,371,153,004,986",42933,Millenials
5209,Canada,2009,female,35-54 years,402,5043261,7.97,"1,371,153,004,986",42933,Boomers
5210,Canada,2009,female,15-24 years,130,2238546,5.81,"1,371,153,004,986",42933,Millenials
5211,Canada,2009,female,55-74 years,192,3389717,5.66,"1,371,153,004,986",42933,Silent
5212,Canada,2009,female,25-34 years,119,2293665,5.19,"1,371,153,004,986",42933,Generation X
5213,Canada,2009,female,75+ years,46,1322098,3.48,"1,371,153,004,986",42933,Silent
5214,Canada,2009,male,5-14 years,13,1937420,0.67,"1,371,153,004,986",42933,Generation Z
5215,Canada,2009,female,5-14 years,12,1837414,0.65,"1,371,153,004,986",42933,Generation Z
5216,Canada,2010,male,35-54 years,1292,5088099,25.39,"1,613,464,422,811",49974,Generation X
5217,Canada,2010,male,75+ years,200,917671,21.79,"1,613,464,422,811",49974,Silent
5218,Canada,2010,male,55-74 years,690,3333897,20.7,"1,613,464,422,811",49974,Silent
5219,Canada,2010,male,25-34 years,409,2366854,17.28,"1,613,464,422,811",49974,Generation X
5220,Canada,2010,male,15-24 years,371,2357806,15.73,"1,613,464,422,811",49974,Millenials
